carbNorm_Comparisons	ID	lower_4	upper_4	carbNorm_4	lower_15	upper_15	carbNorm_15	lower_20	upper_20	carbNorm_20	four_fifteen	four_twenty	fifteen_twenty
carbNorm_Comparisons	PGI	-0.259649	-0.259649	-0.259649	-0.034022	-0.034022	-0.034022	-0.009326	-0.009326	-0.009326	15C < 4C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PGK	-0.0	0.0	0	0.921547	0.921547	0.921547	0.971351	0.971351	0.971351	4C < 15C, one zero	4C < 20C, one zero	15C < 20C, diff values
carbNorm_Comparisons	PGL	0.248539	0.248539	0.248539	0.008484	0.008484	0.008484	-0.0	0.0	0	15C < 4C, diff values	20C < 4C, one zero	20C < 15C, one zero
carbNorm_Comparisons	PGLYCP	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PGM	-0.0	0.0	0	0.921547	0.921547	0.921547	0.971351	0.971351	0.971351	4C < 15C, one zero	4C < 20C, one zero	15C < 20C, diff values
carbNorm_Comparisons	PGMT	-0.01111	-0.01111	-0.01111	-0.025538	-0.025538	-0.025538	-0.009326	-0.009326	-0.009326	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PGPPH	0.000366	0.000366	0.000366	0.000842	0.000842	0.000842	0.000308	0.000308	0.000308	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PGSA	0.000366	0.000366	0.000366	0.000842	0.000842	0.000842	0.000308	0.000308	0.000308	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PHE4MO	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PHEAL	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PHEMEabc	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PHETA1	-0.003699	-0.003699	-0.003699	-0.008502	-0.008502	-0.008502	-0.003105	-0.003105	-0.003105	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PHETRS	0.003699	0.003699	0.003699	0.008502	0.008502	0.008502	0.003105	0.003105	0.003105	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PHNabc	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PIabc	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PIt6	0.009333	0.009333	0.009333	0.021452	0.021452	0.021452	0.007834	0.007834	0.007834	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
