gene	4C Late Replicate A	4C Late Replicate B	15C Replicate A	15C Replicate B	20C Replicate A	20C Replicate B
sps_RS01485	54.99390406	33.78545388	39.80552129	36.87511018	43.85995571	59.44149755
sps_RS01490	57.31151032	35.29984126	39.39188621	35.22946659	31.77449765	37.41050645
sps_RS01495	17.75010345	20.06293647	15.33563157	10.72341764	14.44158448	10.12790698
sps_RS01500	13.53410332	14.66222154	9.733224463	7.093928506	25.07296724	12.65910004
sps_RS01505	103.9972565	72.86330777	50.80957094	38.92817753	83.66582958	10.32579553
sps_RS01510	23.07162439	25.4010095	32.74847274	37.19569403	50.65552863	78.43763861
sps_RS01515	57.85315331	71.03763744	82.47963518	101.1630364	108.6980305	66.54624069
sps_RS01520	36.59909612	27.05463354	31.10389146	27.37608858	57.32704347	33.52303167
sps_RS01525	31.42070399	18.72508791	12.62436311	10.71826352	24.78565437	2.854982442
sps_RS01530	1046.891001	615.3472848	477.9175044	509.7761313	199.8023497	62.97346318
sps_RS01535	14.73352497	10.51301851	12.48462738	11.41157896	11.86247912	21.88444433
sps_RS01540	7.057005286	5.986356443	7.052135054	5.647423674	12.0917415	22.02288615
sps_RS01545	8.533943436	6.386901107	9.072905855	8.587429155	14.60343074	16.40994449
sps_RS01550	23.95801045	17.77893562	31.06569598	22.22018195	68.28117442	32.68675419
sps_RS01555	32.39022363	17.74331287	17.59873279	14.12072239	24.83427843	3.434758614
sps_RS01560	9.558874413	6.982286534	6.592211776	4.088416216	16.40814223	9.844805531
sps_RS01565	99.26324346	78.28606908	43.51535508	36.91981427	72.52061817	3.782668601
sps_RS01570	44.72295572	56.20920683	36.19053083	29.09202769	78.92699146	31.64074032
sps_RS01575	149.5369017	118.1671317	97.73274751	75.71852546	141.2976313	57.43236266
sps_RS01580	70.78090975	43.83400409	52.11998448	41.27909649	81.201494	17.74932055
sps_RS01585	24.46703561	18.40545727	20.52972428	17.63443249	43.73032558	21.60843587
sps_RS01590	47.46434388	46.97125579	38.79853535	31.75270197	32.71748275	42.52041239
sps_RS01595	13.57690909	10.19419744	12.96491116	10.91384436	14.96798663	35.16083266
sps_RS01600	11.66788484	9.80255491	11.35960579	10.90376872	34.40694794	102.7759466
sps_RS01605	62.777954	48.91220743	33.80841668	39.82816369	57.97757654	300.9914966
sps_RS01610	244.1679747	301.5300723	68.77651766	52.10052124	4.29927128	13.84112746
sps_RS01615	48.57492623	53.65616631	30.09168136	27.40579577	60.20655234	54.07673439
sps_RS01620	25.10939528	17.4818482	92.90292721	51.95030914	60.2262546	25.68785342
sps_RS01625	25.52106797	13.51371949	24.85039257	15.21704735	25.69093091	14.00021386
sps_RS01630	7.746178516	4.453919436	7.071987094	3.233894971	9.932028512	6.962621646
sps_RS01635	13.34715621	8.460479499	15.13032756	11.89580098	24.03809822	33.28299434
